case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.378988,37.521114,3.064497625,24.515981,326.317759832,62.037095,
s049,1,13,9,37.352279,37.494447,3.058454125,24.467633,326.962563154,61.96208,
s049,2,13,9,37.384921,37.5239,3.062665875,24.501327,326.512927239,62.025227,
s055,0,32,331,93.266415,93.408684,3.63025144242,1197.982976,275.463012923,1291.39166,
s055,1,32,331,93.246184,93.398023,3.63061451515,1198.10279,275.435465767,1291.500813,
s055,2,32,331,93.251588,93.390476,3.6305256303,1198.073458,275.442209154,1291.463934,
s057,0,24,222,69.526718,69.665735,3.42536421267,757.005491,291.939758202,826.671226,
s057,1,24,222,69.55558,69.694416,3.42474798643,756.869305,291.992287889,826.563721,
s057,2,24,222,69.573511,69.712577,3.42556604977,757.050097,291.922556877,826.762674,
s080,0,27,491,78.450323,78.590684,3.88243646939,1902.39387,257.570215993,1980.984554,
s080,1,27,491,78.416085,78.559795,3.88321623469,1902.775955,257.518494867,1981.33575,
s080,2,27,491,78.383345,78.548948,3.88508758571,1903.692917,257.394454549,1982.241865,
s093,0,742,391,3043.064258,3043.203304,6.22521782308,2427.834951,160.636949328,5471.038255,
s093,1,742,391,3043.536799,3043.682791,6.22490825128,2427.714218,160.644937987,5471.397009,
s093,2,742,391,3043.511849,3043.650838,6.22371324359,2427.248165,160.675783228,5470.899003,
s099,0,42,111,123.72689,123.865762,3.32373007273,365.610308,300.86679066,489.47607,
s099,1,42,111,123.724241,123.863108,3.32469938182,365.716932,300.779073581,489.58004,
s099,2,42,111,123.722357,123.864479,3.32307523636,365.538276,300.926078669,489.402755,
