case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.478547,37.620749,3.06721375,24.53771,326.028794048,62.158459,3.06721375
s049,1,13,9,37.50713,37.646563,3.06987825,24.559026,325.745817444,62.205589,3.06987825
s049,2,13,9,37.469894,37.599901,3.06782,24.54256,325.964365576,62.142461,3.06782
s055,0,32,331,93.550336,93.690713,3.6413144,1201.633752,274.62610754,1295.324465,3.6413144
s055,1,32,331,93.577778,93.720243,3.64016003636,1201.252812,274.713196676,1294.973055,3.6401600363636364
s055,2,32,331,93.536292,93.675174,3.64091634848,1201.502395,274.656131668,1295.177569,3.6409163484848484
s057,0,24,222,69.75151,69.890427,3.43445845249,759.015318,291.166719247,828.905745,3.4344584524886876
s057,1,24,222,69.770984,69.926388,3.43604518552,759.365986,291.032261221,829.292374,3.436045185520362
s057,2,24,222,69.738518,69.88066,3.43532568326,759.206976,291.093215666,829.087636,3.4353256832579184
s080,0,27,491,78.655671,78.794585,3.89512939796,1908.613405,256.7308805,1987.40799,3.8951293979591837
s080,1,27,491,78.666427,78.805612,3.89597948367,1909.029947,256.674862943,1987.835559,3.8959794836734694
s080,2,27,491,78.638476,78.768521,3.89521574898,1908.655717,256.725189166,1987.424238,3.895215748979592
s093,0,742,391,3045.958028,3046.109451,6.2340870641,2431.293955,160.408411002,5477.403406,6.234087064102564
s093,1,742,391,3049.03816,3049.195517,6.23366491538,2431.129317,160.419273986,5480.324834,6.233664915384615
s093,2,742,391,3055.528023,3055.66791,6.23420665128,2431.340594,160.40533398,5487.008504,6.234206651282051
s099,0,42,111,123.759323,123.901408,3.34083413636,367.491755,299.326443392,491.393163,3.3408341363636365
s099,1,42,111,123.795666,123.934696,3.34627408182,368.090149,298.839836651,492.024845,3.3462740818181818
s099,2,42,111,124.954876,125.093814,3.35892109091,369.48132,297.714644951,494.575134,3.358921090909091
