case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.330309,37.4724,3.060495625,24.483965,326.744463162,61.956365,
s049,1,13,9,37.334906,37.476964,3.060353375,24.482827,326.759650754,61.959791,
s049,2,13,9,37.362977,37.505092,3.063695375,24.509563,326.403208413,62.014655,
s055,0,32,331,93.192129,93.332528,3.62936704545,1197.691125,275.530137205,1291.023653,
s055,1,32,331,93.18333,93.31625,3.62969222121,1197.798433,275.505453095,1291.114683,
s055,2,32,331,93.212925,93.355165,3.62980799091,1197.836637,275.496666078,1291.191802,
s057,0,24,222,69.553238,69.69223,3.42286828054,756.45389,292.152638676,826.14612,
s057,1,24,222,69.496757,69.653886,3.4239871267,756.701155,292.057172821,826.355041,
s057,2,24,222,69.507306,69.646239,3.42257555656,756.389198,292.177625731,826.035437,
s080,0,27,491,78.369334,78.508123,3.88184349796,1902.103314,257.60956116,1980.611437,
s080,1,27,491,78.358213,78.497091,3.88257313265,1902.460835,257.561149741,1980.957926,
s080,2,27,491,78.366891,78.505891,3.8827072449,1902.52655,257.552253344,1981.032441,
s093,0,742,391,3044.125245,3044.282274,6.23132486923,2430.216699,160.479516152,5474.498973,
s093,1,742,391,3044.721183,3044.863849,6.23299681538,2430.868758,160.436468944,5475.732607,
s093,2,742,391,3044.436491,3044.580174,6.23050891282,2429.898476,160.50053278,5474.47865,
s099,0,42,111,123.653657,123.792644,3.3217466,365.392126,301.046443458,489.18477,
s099,1,42,111,123.600058,123.742217,3.32097110909,365.306822,301.116741806,489.049039,
s099,2,42,111,123.612582,123.753057,3.3221027,365.431297,301.014173945,489.184354,
