case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.496194,37.635315,3.071733875,24.573871,325.549035396,62.209186,
s049,1,13,9,37.492549,37.631366,3.0703625,24.5629,325.694441617,62.194266,
s049,2,13,9,37.506167,37.645074,3.071334,24.570672,325.591420536,62.215746,
s055,0,32,331,93.575992,93.718289,3.64259878485,1202.057599,274.529274034,1295.775888,
s055,1,32,331,93.596276,93.735152,3.64259326667,1202.055778,274.529689919,1295.79093,
s055,2,32,331,93.612878,93.75506,3.64341957879,1202.328461,274.467427749,1296.083521,
s057,0,24,222,69.771995,69.902376,3.43609385068,759.376741,291.028139351,829.279117,
s057,1,24,222,69.783817,69.922782,3.43770328507,759.732426,290.891888298,829.655208,
s057,2,24,222,69.790927,69.93311,3.43576054751,759.303081,291.056371994,829.236191,
s080,0,27,491,78.691844,78.83077,3.89693894898,1909.500085,256.611667027,1988.330855,
s080,1,27,491,78.658753,78.797695,3.89756855714,1909.808593,256.570214312,1988.606288,
s080,2,27,491,78.678202,78.817314,3.89754257755,1909.795863,256.571924515,1988.613177,
s093,0,742,391,3039.924571,3040.063533,6.21882113333,2425.340242,160.802180761,5465.403775,
s093,1,742,391,3039.992582,3040.148891,6.21829417949,2425.13473,160.815807541,5465.283621,
s093,2,742,391,3045.493337,3045.632493,6.23190272564,2430.442063,160.464635606,5476.074556,
s099,0,42,111,123.769941,123.90148,3.3235498,365.590478,300.883109981,489.491958,
s099,1,42,111,123.749678,123.879726,3.33069778182,366.376756,300.23738733,490.256482,
s099,2,42,111,124.022623,124.163145,3.33145173636,366.459691,300.169439372,490.622836,
