case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.239369,37.378239,3.049660625,24.397285,327.905338647,61.775524,3.049660625
s049,1,13,9,37.252466,37.391295,3.052462875,24.419703,327.604311977,61.810998,3.0524628750000002
s049,2,13,9,37.231136,37.371493,3.0513015,24.410412,327.729003509,61.781905,3.0513015
s055,0,32,331,92.980279,93.119155,3.61792602424,1193.915588,276.401450251,1287.034743,3.6179260242424243
s055,1,32,331,92.958085,93.088203,3.61923130909,1194.346332,276.301765374,1287.434535,3.619231309090909
s055,2,32,331,92.98884,93.127785,3.61942162121,1194.409135,276.287237204,1287.53692,3.6194216212121213
s057,0,24,222,69.328591,69.488375,3.41491109502,754.695352,292.833392195,824.183727,3.4149110950226245
s057,1,24,222,69.31158,69.45043,3.41401729412,754.497822,292.910056936,823.948252,3.414017294117647
s057,2,24,222,69.32736,69.466462,3.41408002262,754.511685,292.904675161,823.978147,3.4140800226244346
s080,0,27,491,78.198223,78.338838,3.89065555102,1906.42122,257.02609416,1984.760058,3.890655551020408
s080,1,27,491,78.554002,78.698595,3.8915241,1906.846809,256.968728525,1985.545404,3.8915241
s080,2,27,491,78.546152,78.685087,3.88981743878,1906.010545,257.081473807,1984.695632,3.88981743877551
s093,0,742,391,3033.673542,3033.803914,6.20320895897,2419.251494,161.206886083,5453.055408,6.203208958974359
s093,1,742,391,3032.849505,3032.988693,6.20446435897,2419.7411,161.174267776,5452.729793,6.204464358974359
s093,2,742,391,3032.937559,3033.076817,6.20436631282,2419.702862,161.176814775,5452.779679,6.204366312820513
s099,0,42,111,123.319677,123.458571,3.31419511818,364.561463,301.732385795,488.020034,3.3141951181818183
s099,1,42,111,123.290857,123.429839,3.31377488182,364.515237,301.770649988,487.945076,3.313774881818182
s099,2,42,111,123.295699,123.4346,3.31365287273,364.501816,301.781761219,487.936416,3.3136528727272725
