case,iteration,prompt_tokens,output_tokens,prefill_ms,ttft_ms,tpot_ms,decode_ms,decode_tokens_per_second,total_ms,itl_mean_ms
s049,0,13,9,37.279765,37.422117,3.058078625,24.464629,327.00271073,61.886746,3.058078625
s049,1,13,9,37.311537,37.464046,3.05702425,24.456194,327.11549475,61.92024,3.05702425
s049,2,13,9,37.317302,37.459996,3.058438625,24.467509,326.964220183,61.927505,3.058438625
s055,0,32,331,93.052014,93.19423,3.62428340606,1196.013524,275.916612461,1289.207754,3.624283406060606
s055,1,32,331,93.062444,93.204616,3.62467949091,1196.144232,275.886461826,1289.348848,3.6246794909090907
s055,2,32,331,93.049656,93.189026,3.62463287879,1196.12885,275.890009676,1289.317876,3.624632878787879
s057,0,24,222,69.418415,69.560571,3.41921224434,755.645906,292.465026602,825.206477,3.4192122443438913
s057,1,24,222,69.370173,69.509245,3.42011603167,755.845643,292.387740866,825.354888,3.4201160316742083
s057,2,24,222,69.365948,69.510171,3.42039863348,755.908098,292.363583066,825.418269,3.420398633484163
s080,0,27,491,78.255251,78.394554,3.87834478367,1900.388944,257.841954694,1978.783498,3.8783447836734695
s080,1,27,491,78.256303,78.398872,3.87772736735,1900.08641,257.883008594,1978.485282,3.877727367346939
s080,2,27,491,78.243002,78.381887,3.87840550612,1900.418698,257.837917779,1978.800585,3.878405506122449
s093,0,742,391,3033.451379,3033.619504,6.21170646923,2422.565523,160.986357767,5456.185027,6.211706469230769
s093,1,742,391,3033.94036,3034.082825,6.2118434,2422.618926,160.982809064,5456.701751,6.2118434
s093,2,742,391,3033.835368,3033.977647,6.21201285897,2422.685015,160.978417576,5456.662662,6.212012858974359
s099,0,42,111,123.245886,123.385005,3.31329433636,364.462377,301.814417459,487.847382,3.3132943363636365
s099,1,42,111,123.253977,123.396204,3.31380382727,364.518421,301.768014078,487.914625,3.3138038272727273
s099,2,42,111,123.2043,123.360017,3.3124073,364.364803,301.895240963,487.72482,3.3124073
